002  00370 |Loss: 2.016 | Acc: 22.192% 
002  00371 |Loss: 2.016 | Acc: 22.214% 
002  00372 |Loss: 2.015 | Acc: 22.246% 
002  00373 |Loss: 2.015 | Acc: 22.290% 
002  00374 |Loss: 2.014 | Acc: 22.316% 
002  00375 |Loss: 2.013 | Acc: 22.327% 
002  00376 |Loss: 2.013 | Acc: 22.326% 
002  00377 |Loss: 2.012 | Acc: 22.339% 
002  00378 |Loss: 2.012 | Acc: 22.369% 
002  00379 |Loss: 2.011 | Acc: 22.402% 
002  00380 |Loss: 2.010 | Acc: 22.401% 
002  00381 |Loss: 2.009 | Acc: 22.456% 
002  00382 |Loss: 2.009 | Acc: 22.478% 
002  00383 |Loss: 2.008 | Acc: 22.493% 
002  00384 |Loss: 2.008 | Acc: 22.500% 
002  00385 |Loss: 2.007 | Acc: 22.543% 
002  00386 |Loss: 2.006 | Acc: 22.527% 
002  00387 |Loss: 2.005 | Acc: 22.566% 
002  00388 |Loss: 2.005 | Acc: 22.569% 
002  00389 |Loss: 2.005 | Acc: 22.589% 
002  00390 |Loss: 2.004 | Acc: 22.606% 
002  00391 |Loss: 2.003 | Acc: 22.652% 
002  00392 |Loss: 2.004 | Acc: 22.660% 
003  00393 |Loss: 1.948 | Acc: 25.391% 
003  00394 |Loss: 1.951 | Acc: 27.539% 
003  00395 |Loss: 1.924 | Acc: 28.125% 
003  00396 |Loss: 1.898 | Acc: 29.297% 
003  00397 |Loss: 1.903 | Acc: 28.281% 
003  00398 |Loss: 1.892 | Acc: 28.516% 
003  00399 |Loss: 1.884 | Acc: 29.185% 
003  00400 |Loss: 1.883 | Acc: 28.955% 
003  00401 |Loss: 1.890 | Acc: 28.776% 
003  00402 |Loss: 1.889 | Acc: 28.203% 
003  00403 |Loss: 1.880 | Acc: 28.587% 
003  00404 |Loss: 1.882 | Acc: 28.548% 
003  00405 |Loss: 1.889 | Acc: 28.065% 
003  00406 |Loss: 1.895 | Acc: 28.125% 
003  00407 |Loss: 1.887 | Acc: 28.151% 
003  00408 |Loss: 1.887 | Acc: 28.198% 
003  00409 |Loss: 1.886 | Acc: 28.309% 
003  00410 |Loss: 1.887 | Acc: 28.212% 
003  00411 |Loss: 1.886 | Acc: 28.372% 
003  00412 |Loss: 1.885 | Acc: 28.203% 
003  00413 |Loss: 1.884 | Acc: 28.292% 
003  00414 |Loss: 1.880 | Acc: 28.587% 
003  00415 |Loss: 1.875 | Acc: 28.906% 
003  00416 |Loss: 1.873 | Acc: 29.036% 
003  00417 |Loss: 1.871 | Acc: 29.109% 
003  00418 |Loss: 1.871 | Acc: 29.207% 
003  00419 |Loss: 1.869 | Acc: 29.355% 
003  00420 |Loss: 1.866 | Acc: 29.478% 
003  00421 |Loss: 1.863 | Acc: 29.485% 
003  00422 |Loss: 1.864 | Acc: 29.531% 
003  00423 |Loss: 1.862 | Acc: 29.511% 
003  00424 |Loss: 1.862 | Acc: 29.529% 
003  00425 |Loss: 1.861 | Acc: 29.616% 
003  00426 |Loss: 1.861 | Acc: 29.665% 
003  00427 |Loss: 1.858 | Acc: 29.632% 
003  00428 |Loss: 1.858 | Acc: 29.622% 
003  00429 |Loss: 1.858 | Acc: 29.666% 
003  00430 |Loss: 1.862 | Acc: 29.616% 
003  00431 |Loss: 1.863 | Acc: 29.637% 
003  00432 |Loss: 1.862 | Acc: 29.766% 
003  00433 |Loss: 1.861 | Acc: 29.745% 
003  00434 |Loss: 1.860 | Acc: 29.827% 
003  00435 |Loss: 1.856 | Acc: 29.806% 
003  00436 |Loss: 1.855 | Acc: 29.785% 
003  00437 |Loss: 1.853 | Acc: 29.878% 
003  00438 |Loss: 1.852 | Acc: 29.917% 
003  00439 |Loss: 1.850 | Acc: 29.920% 
003  00440 |Loss: 1.851 | Acc: 29.932% 
003  00441 |Loss: 1.850 | Acc: 29.959% 
003  00442 |Loss: 1.851 | Acc: 29.992% 
003  00443 |Loss: 1.850 | Acc: 29.979% 
003  00444 |Loss: 1.850 | Acc: 29.928% 
003  00445 |Loss: 1.848 | Acc: 29.901% 
003  00446 |Loss: 1.847 | Acc: 29.948% 
