001  00343 |Loss: 2.756 | Acc: 16.557% 
001  00344 |Loss: 2.754 | Acc: 16.563% 
001  00345 |Loss: 2.752 | Acc: 16.569% 
001  00346 |Loss: 2.750 | Acc: 16.578% 
001  00347 |Loss: 2.748 | Acc: 16.586% 
001  00348 |Loss: 2.746 | Acc: 16.622% 
001  00349 |Loss: 2.744 | Acc: 16.639% 
001  00350 |Loss: 2.742 | Acc: 16.663% 
001  00351 |Loss: 2.740 | Acc: 16.689% 
001  00352 |Loss: 2.738 | Acc: 16.701% 
001  00353 |Loss: 2.736 | Acc: 16.712% 
001  00354 |Loss: 2.734 | Acc: 16.715% 
001  00355 |Loss: 2.732 | Acc: 16.730% 
001  00356 |Loss: 2.729 | Acc: 16.746% 
001  00357 |Loss: 2.727 | Acc: 16.756% 
001  00358 |Loss: 2.725 | Acc: 16.764% 
001  00359 |Loss: 2.723 | Acc: 16.787% 
001  00360 |Loss: 2.722 | Acc: 16.793% 
001  00361 |Loss: 2.720 | Acc: 16.817% 
001  00362 |Loss: 2.718 | Acc: 16.825% 
001  00363 |Loss: 2.716 | Acc: 16.841% 
001  00364 |Loss: 2.714 | Acc: 16.848% 
001  00365 |Loss: 2.712 | Acc: 16.854% 
001  00366 |Loss: 2.709 | Acc: 16.882% 
001  00367 |Loss: 2.707 | Acc: 16.883% 
001  00368 |Loss: 2.705 | Acc: 16.901% 
001  00369 |Loss: 2.704 | Acc: 16.919% 
001  00370 |Loss: 2.702 | Acc: 16.919% 
001  00371 |Loss: 2.700 | Acc: 16.956% 
001  00372 |Loss: 2.698 | Acc: 16.971% 
001  00373 |Loss: 2.696 | Acc: 16.980% 
001  00374 |Loss: 2.694 | Acc: 17.008% 
001  00375 |Loss: 2.692 | Acc: 17.029% 
001  00376 |Loss: 2.690 | Acc: 17.061% 
001  00377 |Loss: 2.688 | Acc: 17.088% 
001  00378 |Loss: 2.686 | Acc: 17.107% 
001  00379 |Loss: 2.684 | Acc: 17.134% 
001  00380 |Loss: 2.682 | Acc: 17.155% 
001  00381 |Loss: 2.680 | Acc: 17.190% 
001  00382 |Loss: 2.678 | Acc: 17.210% 
001  00383 |Loss: 2.676 | Acc: 17.224% 
001  00384 |Loss: 2.674 | Acc: 17.247% 
001  00385 |Loss: 2.673 | Acc: 17.261% 
001  00386 |Loss: 2.671 | Acc: 17.287% 
001  00387 |Loss: 2.669 | Acc: 17.309% 
001  00388 |Loss: 2.667 | Acc: 17.318% 
001  00389 |Loss: 2.666 | Acc: 17.338% 
001  00390 |Loss: 2.664 | Acc: 17.358% 
001  00391 |Loss: 2.662 | Acc: 17.375% 
001  00392 |Loss: 2.660 | Acc: 17.393% 
001  00393 |Loss: 2.659 | Acc: 17.436% 
001  00394 |Loss: 2.657 | Acc: 17.451% 
001  00395 |Loss: 2.655 | Acc: 17.480% 
001  00396 |Loss: 2.653 | Acc: 17.493% 
001  00397 |Loss: 2.652 | Acc: 17.510% 
001  00398 |Loss: 2.650 | Acc: 17.551% 
001  00399 |Loss: 2.648 | Acc: 17.571% 
001  00400 |Loss: 2.646 | Acc: 17.592% 
001  00401 |Loss: 2.644 | Acc: 17.591% 
001  00402 |Loss: 2.643 | Acc: 17.603% 
001  00403 |Loss: 2.641 | Acc: 17.628% 
001  00404 |Loss: 2.640 | Acc: 17.638% 
001  00405 |Loss: 2.638 | Acc: 17.654% 
001  00406 |Loss: 2.637 | Acc: 17.661% 
001  00407 |Loss: 2.635 | Acc: 17.685% 
001  00408 |Loss: 2.634 | Acc: 17.697% 
001  00409 |Loss: 2.632 | Acc: 17.694% 
001  00410 |Loss: 2.630 | Acc: 17.715% 
001  00411 |Loss: 2.628 | Acc: 17.729% 
001  00412 |Loss: 2.627 | Acc: 17.751% 
001  00413 |Loss: 2.625 | Acc: 17.770% 
001  00414 |Loss: 2.623 | Acc: 17.801% 
001  00415 |Loss: 2.622 | Acc: 17.824% 
001  00416 |Loss: 2.620 | Acc: 17.832% 
001  00417 |Loss: 2.619 | Acc: 17.853% 
001  00418 |Loss: 2.617 | Acc: 17.862% 
001  00419 |Loss: 2.616 | Acc: 17.881% 
001  00420 |Loss: 2.614 | Acc: 17.906% 
001  00421 |Loss: 2.612 | Acc: 17.921% 
001  00422 |Loss: 2.611 | Acc: 17.934% 
001  00423 |Loss: 2.609 | Acc: 17.958% 
001  00424 |Loss: 2.608 | Acc: 17.972% 
001  00425 |Loss: 2.606 | Acc: 17.994% 
001  00426 |Loss: 2.604 | Acc: 18.016% 
001  00427 |Loss: 2.603 | Acc: 18.014% 
001  00428 |Loss: 2.601 | Acc: 18.036% 
001  00429 |Loss: 2.600 | Acc: 18.051% 
001  00430 |Loss: 2.598 | Acc: 18.052% 
001  00431 |Loss: 2.596 | Acc: 18.087% 
001  00432 |Loss: 2.595 | Acc: 18.115% 
001  00433 |Loss: 2.593 | Acc: 18.138% 
001  00434 |Loss: 2.592 | Acc: 18.151% 
001  00435 |Loss: 2.590 | Acc: 18.166% 
001  00436 |Loss: 2.589 | Acc: 18.178% 
001  00437 |Loss: 2.588 | Acc: 18.173% 
001  00438 |Loss: 2.586 | Acc: 18.193% 
001  00439 |Loss: 2.584 | Acc: 18.207% 
001  00440 |Loss: 2.583 | Acc: 18.237% 
001  00441 |Loss: 2.581 | Acc: 18.252% 
001  00442 |Loss: 2.580 | Acc: 18.259% 
001  00443 |Loss: 2.578 | Acc: 18.267% 
001  00444 |Loss: 2.577 | Acc: 18.278% 
001  00445 |Loss: 2.575 | Acc: 18.297% 
001  00446 |Loss: 2.574 | Acc: 18.326% 
001  00447 |Loss: 2.572 | Acc: 18.339% 
001  00448 |Loss: 2.571 | Acc: 18.356% 
001  00449 |Loss: 2.569 | Acc: 18.367% 
001  00450 |Loss: 2.568 | Acc: 18.413% 
001  00451 |Loss: 2.566 | Acc: 18.433% 
001  00452 |Loss: 2.564 | Acc: 18.454% 
001  00453 |Loss: 2.563 | Acc: 18.467% 
001  00454 |Loss: 2.562 | Acc: 18.499% 
001  00455 |Loss: 2.560 | Acc: 18.527% 
001  00456 |Loss: 2.559 | Acc: 18.555% 
001  00457 |Loss: 2.557 | Acc: 18.571% 
001  00458 |Loss: 2.556 | Acc: 18.591% 
001  00459 |Loss: 2.554 | Acc: 18.600% 
001  00460 |Loss: 2.553 | Acc: 18.609% 
001  00461 |Loss: 2.551 | Acc: 18.630% 
001  00462 |Loss: 2.550 | Acc: 18.655% 
001  00463 |Loss: 2.548 | Acc: 18.679% 
001  00464 |Loss: 2.547 | Acc: 18.691% 
001  00465 |Loss: 2.546 | Acc: 18.708% 
001  00466 |Loss: 2.544 | Acc: 18.718% 
001  00467 |Loss: 2.543 | Acc: 18.723% 
001  00468 |Loss: 2.542 | Acc: 18.737% 
001  00469 |Loss: 2.540 | Acc: 18.767% 
001  00470 |Loss: 2.539 | Acc: 18.783% 
001  00471 |Loss: 2.538 | Acc: 18.793% 
001  00472 |Loss: 2.536 | Acc: 18.811% 
001  00473 |Loss: 2.535 | Acc: 18.818% 
001  00474 |Loss: 2.534 | Acc: 18.839% 
001  00475 |Loss: 2.532 | Acc: 18.849% 
001  00476 |Loss: 2.530 | Acc: 18.876% 
001  00477 |Loss: 2.529 | Acc: 18.911% 
001  00478 |Loss: 2.527 | Acc: 18.941% 
001  00479 |Loss: 2.526 | Acc: 18.951% 
001  00480 |Loss: 2.525 | Acc: 18.971% 
001  00481 |Loss: 2.524 | Acc: 18.995% 
001  00482 |Loss: 2.522 | Acc: 19.000% 
001  00483 |Loss: 2.521 | Acc: 19.014% 
001  00484 |Loss: 2.520 | Acc: 19.032% 
001  00485 |Loss: 2.518 | Acc: 19.051% 
001  00486 |Loss: 2.517 | Acc: 19.070% 
001  00487 |Loss: 2.516 | Acc: 19.100% 
001  00488 |Loss: 2.514 | Acc: 19.129% 
001  00489 |Loss: 2.513 | Acc: 19.138% 
001  00490 |Loss: 2.512 | Acc: 19.152% 
001  00491 |Loss: 2.510 | Acc: 19.168% 
001  00492 |Loss: 2.509 | Acc: 19.190% 
001  00493 |Loss: 2.507 | Acc: 19.206% 
001  00494 |Loss: 2.506 | Acc: 19.226% 
001  00495 |Loss: 2.504 | Acc: 19.238% 
001  00496 |Loss: 2.503 | Acc: 19.256% 
001  00497 |Loss: 2.502 | Acc: 19.261% 
001  00498 |Loss: 2.501 | Acc: 19.272% 
001  00499 |Loss: 2.499 | Acc: 19.287% 
001  00500 |Loss: 2.498 | Acc: 19.323% 
001  00501 |Loss: 2.497 | Acc: 19.339% 
001  00502 |Loss: 2.496 | Acc: 19.369% 
001  00503 |Loss: 2.494 | Acc: 19.370% 
001  00504 |Loss: 2.493 | Acc: 19.393% 
001  00505 |Loss: 2.492 | Acc: 19.414% 
001  00506 |Loss: 2.491 | Acc: 19.429% 
001  00507 |Loss: 2.489 | Acc: 19.451% 
001  00508 |Loss: 2.488 | Acc: 19.470% 
001  00509 |Loss: 2.486 | Acc: 19.490% 
001  00510 |Loss: 2.485 | Acc: 19.508% 
001  00511 |Loss: 2.484 | Acc: 19.511% 
001  00512 |Loss: 2.483 | Acc: 19.540% 
001  00513 |Loss: 2.482 | Acc: 19.557% 
001  00514 |Loss: 2.481 | Acc: 19.577% 
001  00515 |Loss: 2.479 | Acc: 19.604% 
001  00516 |Loss: 2.478 | Acc: 19.636% 
001  00517 |Loss: 2.477 | Acc: 19.655% 
001  00518 |Loss: 2.475 | Acc: 19.679% 
