001  00208 |Loss: 1.713 | Acc: 37.793% 
001  00209 |Loss: 1.710 | Acc: 37.896% 
001  00210 |Loss: 1.709 | Acc: 37.954% 
001  00211 |Loss: 1.708 | Acc: 37.989% 
001  00212 |Loss: 1.706 | Acc: 38.038% 
001  00213 |Loss: 1.705 | Acc: 38.094% 
001  00214 |Loss: 1.705 | Acc: 38.077% 
001  00215 |Loss: 1.704 | Acc: 38.132% 
001  00216 |Loss: 1.703 | Acc: 38.202% 
001  00217 |Loss: 1.701 | Acc: 38.249% 
001  00218 |Loss: 1.698 | Acc: 38.346% 
001  00219 |Loss: 1.696 | Acc: 38.442% 
001  00220 |Loss: 1.695 | Acc: 38.473% 
001  00221 |Loss: 1.692 | Acc: 38.539% 
001  00222 |Loss: 1.691 | Acc: 38.598% 
001  00223 |Loss: 1.690 | Acc: 38.656% 
001  00224 |Loss: 1.689 | Acc: 38.672% 
001  00225 |Loss: 1.689 | Acc: 38.694% 
001  00226 |Loss: 1.687 | Acc: 38.738% 
001  00227 |Loss: 1.685 | Acc: 38.815% 
001  00228 |Loss: 1.683 | Acc: 38.864% 
001  00229 |Loss: 1.683 | Acc: 38.885% 
001  00230 |Loss: 1.682 | Acc: 38.879% 
001  00231 |Loss: 1.681 | Acc: 38.893% 
001  00232 |Loss: 1.679 | Acc: 38.928% 
001  00233 |Loss: 1.678 | Acc: 39.029% 
001  00234 |Loss: 1.676 | Acc: 39.089% 
001  00235 |Loss: 1.675 | Acc: 39.136% 
001  00236 |Loss: 1.674 | Acc: 39.155% 
001  00237 |Loss: 1.672 | Acc: 39.168% 
001  00238 |Loss: 1.672 | Acc: 39.174% 
001  00239 |Loss: 1.671 | Acc: 39.219% 
001  00240 |Loss: 1.669 | Acc: 39.297% 
001  00241 |Loss: 1.668 | Acc: 39.348% 
001  00242 |Loss: 1.669 | Acc: 39.334% 
001  00243 |Loss: 1.667 | Acc: 39.416% 
001  00244 |Loss: 1.666 | Acc: 39.434% 
001  00245 |Loss: 1.664 | Acc: 39.477% 
001  00246 |Loss: 1.663 | Acc: 39.533% 
001  00247 |Loss: 1.662 | Acc: 39.556% 
001  00248 |Loss: 1.661 | Acc: 39.592% 
001  00249 |Loss: 1.659 | Acc: 39.640% 
001  00250 |Loss: 1.657 | Acc: 39.719% 
001  00251 |Loss: 1.657 | Acc: 39.722% 
001  00252 |Loss: 1.656 | Acc: 39.763% 
001  00253 |Loss: 1.655 | Acc: 39.785% 
001  00254 |Loss: 1.654 | Acc: 39.825% 
001  00255 |Loss: 1.652 | Acc: 39.877% 
001  00256 |Loss: 1.650 | Acc: 39.935% 
001  00257 |Loss: 1.650 | Acc: 39.987% 
001  00258 |Loss: 1.648 | Acc: 40.044% 
001  00259 |Loss: 1.648 | Acc: 40.076% 
001  00260 |Loss: 1.647 | Acc: 40.102% 
001  00261 |Loss: 1.646 | Acc: 40.140% 
001  00262 |Loss: 1.646 | Acc: 40.160% 
001  00263 |Loss: 1.644 | Acc: 40.215% 
001  00264 |Loss: 1.643 | Acc: 40.234% 
001  00265 |Loss: 1.643 | Acc: 40.283% 
001  00266 |Loss: 1.641 | Acc: 40.343% 
001  00267 |Loss: 1.639 | Acc: 40.385% 
001  00268 |Loss: 1.638 | Acc: 40.409% 
001  00269 |Loss: 1.637 | Acc: 40.451% 
001  00270 |Loss: 1.635 | Acc: 40.532% 
001  00271 |Loss: 1.635 | Acc: 40.562% 
001  00272 |Loss: 1.633 | Acc: 40.642% 
001  00273 |Loss: 1.632 | Acc: 40.665% 
001  00274 |Loss: 1.631 | Acc: 40.688% 
001  00275 |Loss: 1.631 | Acc: 40.699% 
001  00276 |Loss: 1.629 | Acc: 40.755% 
001  00277 |Loss: 1.628 | Acc: 40.794% 
001  00278 |Loss: 1.627 | Acc: 40.822% 
001  00279 |Loss: 1.626 | Acc: 40.855% 
001  00280 |Loss: 1.625 | Acc: 40.910% 
001  00281 |Loss: 1.624 | Acc: 40.920% 
001  00282 |Loss: 1.622 | Acc: 40.985% 
001  00283 |Loss: 1.621 | Acc: 41.039% 
001  00284 |Loss: 1.621 | Acc: 41.054% 
001  00285 |Loss: 1.619 | Acc: 41.102% 
001  00286 |Loss: 1.619 | Acc: 41.128% 
001  00287 |Loss: 1.618 | Acc: 41.175% 
001  00288 |Loss: 1.616 | Acc: 41.233% 
001  00289 |Loss: 1.615 | Acc: 41.241% 
001  00290 |Loss: 1.614 | Acc: 41.255% 
001  00291 |Loss: 1.614 | Acc: 41.291% 
001  00292 |Loss: 1.613 | Acc: 41.331% 
001  00293 |Loss: 1.612 | Acc: 41.393% 
001  00294 |Loss: 1.610 | Acc: 41.449% 
001  00295 |Loss: 1.608 | Acc: 41.494% 
001  00296 |Loss: 1.608 | Acc: 41.533% 
001  00297 |Loss: 1.607 | Acc: 41.546% 
001  00298 |Loss: 1.607 | Acc: 41.574% 
001  00299 |Loss: 1.605 | Acc: 41.597% 
001  00300 |Loss: 1.604 | Acc: 41.656% 
001  00301 |Loss: 1.602 | Acc: 41.715% 
001  00302 |Loss: 1.602 | Acc: 41.712% 
001  00303 |Loss: 1.601 | Acc: 41.754% 
001  00304 |Loss: 1.599 | Acc: 41.833% 
001  00305 |Loss: 1.598 | Acc: 41.860% 
001  00306 |Loss: 1.597 | Acc: 41.896% 
001  00307 |Loss: 1.595 | Acc: 41.974% 
001  00308 |Loss: 1.595 | Acc: 42.005% 
